,Comments
89,"Randy Runey
11 days ago
I’m not a politician but shouldn’t we have started diplomacy months ago. It’s kinda late now
REPLY"
90,"David Christian
11 days ago
Doesn’t Hunter have “connections “ with the Ukraine. Why doesn’t Brandon send him over?
3
REPLY"
91,"Mr.Woo Woo
9 days ago
All the Politicians and people like him on the frontline if there's war.
REPLY"
92,"Jason Rickard
11 days ago
What about the southern border? The daily cost of millions of illegal immigrants being fed,clothed,transport,housing,housing, care all paid by taxpaying Americans who can't get the same benefits for themselves
11
REPLY"
93,"He maccabe
11 days ago
Keep wagging that dog! Let's GO Brandon!
9
REPLY"
94,"Lucho
11 days ago
Латиноамериканцы будут разочарованы, если Россия вторгнется в Украину. Мы не думаем, что Россия вообще нападет. Путин заботится о жизни людей в целом. Covid-19 уничтожил 6 миллионов человек, а Россия разработала собственный препарат, чтобы помочь

 мир с вакциной ковид-19. Мы не думаем, что Россия даже подумает о нападении, но отработает его, как учения США и Южной Кореи. Учения - это нормально в любой стране
Read more
1
REPLY"
95,"Bell toll To thee
11 days ago
There will be a time for reckoning and all these liars will be burn to hell!
1
REPLY"
96,"Sung Johnny
11 days ago
US started the entire episode, now entering into ""prevention"" stage of the ending of the show. Classic US move !
14
REPLY"
97,"dhh488
11 days ago
why is it, that the people that want war have never had nor ever will have any skin in the game?
2
REPLY"
98,"Let’s go Brandon
11 days ago
Isn’t this the guy that planned the Afghanistan debacle??
15
REPLY"
99,"Ashley Warrick
11 days ago
Good luck Russia. My thoughts go out to Mr Putin, his commaders and troops.
4
REPLY"
100,"TonyG721
11 days ago
Wars wars wars every 4 to 8 years. This is ridiculous. Let the American People VOICES be heard🇺🇲
6
REPLY"
101,"Vinny Boombah
11 days ago
What could go wrong. 
They did such a good job with the Afghanistan withdrawal.
4
REPLY"
102,"Dislike Button
11 days ago
10-day Invasion forecast from The War Channel
2/20: 10% chance
2/21: 30% chance, scattered artillery fire
2/22: 30% chance
Read more
1
REPLY"
103,"Michael Polyakov
11 days ago
What about sanctions against Ukraine and comedian?
1
REPLY"
104,"therealikejones
11 days ago
Biden is the best thing to happen to the Republicans  I mean imagine being a democrat and having to pretend that Biden is competent.
17
REPLY"
105,"James Bailey
11 days ago
You cannot as a human being allow this to happen get in there and help them.
REPLY"
106,"boy hoomba
11 days ago (edited)
Russia has no respect on your leadership.......hahahha they know your weaknesses as what you guys did in Afghanistan
18
REPLY"
107,"Crypto Vader
11 days ago
FJB and FU if you voted for Him...Let`s go Brandon!
10
REPLY"
108,"Brian Pimental
11 days ago
Putin has more leverage than we do, and we gave it to him by giving him the pipeline.
2
REPLY"
109,"Azure Cliff
11 days ago
We should make an excessive fuss. That will prevent the start of the war.
REPLY"
110,"Erick V
11 days ago
In all this Ukraine stands at the mercy of the two giant powerhouses.....   Ukraine doesn't have the power to choose it's allegiance. It must stand down from joining NATO in order to bring peace to the region, but it must develop its arsenal and weapons cache in order to defend its border from Russia... once Ukraine can thoroughly and diplomaticly stand on its own in defense of its own territory, then and only then can it make a decision to join NATO by their own will power
Read more
1
REPLY"
111,"Truthseeker
11 days ago
The goal is to destroy belt and road. If EU and Russia fight. The path will be destablized.
REPLY"
112,"Michael Macosko
11 days ago
How about securing are border first
4
REPLY"
113,"Robertd Lucas
11 days ago
Recognized the fact that NATO is encroaching on Russia's sphere of influence and cease the practice.That is all that is needed. America raised a hue and cry over the Cuban missile crisis. The  Russians have the right to equal treatment. America seems to forget that Russia is a nuclear power and in a nuclear  exchange ,due to its immense size,Russia would be left standing and not America.
1
REPLY"
114,"Tiffany Morris
11 days ago
Investing in crypto now should be in every wise individuals list, in some months time you'll be ecstatic with the decision you made today.
5
REPLY"
115,"Edo PinkSlip
11 days ago
Why are we so worried about another country when our own country has border and other problems all that money we using to defend another country that money can be used to help US residents in this pandemic
2
REPLY"
116,"Gerald Slaby
11 days ago
There is no reason for NATO and the U.S. not to impose sanctions against Putin and Russia NOW and have all of those representatives who agreed to it to go in front of cameras and show unity against this aggressive and possibly hostile act...unite...
2
REPLY"
117,"Leen Walter
11 days ago
You make two countries hate each other. Then you said there are chances for peace. Are you serious kidding me?
REPLY"
118,"Mike
11 days ago (edited)
I don’t care!  Why don’t you put the same effort towards out southern border and stopping drugs from entering our country?
7
REPLY"
119,"DirtyDave
11 days ago
Anyone agreeing with US sending troops to prevent a war, needs to send YOUR OWN kids to go and prevent that. We ARE NOT the world police, let’s keep our nose out of that business and focus on ourselves. Because if you’re not willing to send your own sons and daughters, you shouldn’t be sending anyone else’s
1
REPLY"
120,"DOSsector
11 days ago
30,000 troops in Belarus - is not a russian teritory.
3
REPLY"
121,"nukem bear
11 days ago
Blinken is so close to calling Putin a homophobe, misogynist, racist I cant stand the suspense!
3
REPLY"
122,"Turd Ferguson
11 days ago
Putin must be shaking in his boots to see Fluffy Boy Blinken threatening him.
17
REPLY"
123,"Сергий Серж
10 days ago
If you want to say - War, It's best to look your child in the eyes first! 
REPLY"
124,"Samudra Manthan
11 days ago
Our strategic advantage is that Vice President Kamala Harris, an oppressed strong black womxn, is an empowered black womxn of magnificent bravery and courage, speaking truth to power with a powerful black womxn's voice that is an authentic expression of her lived experience of struggle and stigma. An iconic, powerful and independent black womxn who is an epic black role model to young black womxn (and victimized black transwomxn without a strong black voice) everywhere!
Read more
1
REPLY"
125,"birdlynn
11 days ago
Are we delusional? Until the tanks are rolling?? Look at what they are doing already. lol
REPLY"
126,"North Maine Guy
11 days ago
This guy is an empty suit.
10
REPLY"
127,"Andrew Patrick
11 days ago
I thought Biden told us yesterday that Russia would have already invaded by now. As an American this is embarrassing. NO WAR!!! This message is to Biden.
5
REPLY"
128,"bill toal
11 days ago
Blinken is most unqualified person to be in his position, but that just goes along with Brandon, harris, Austin and milley,  have no business doing what they are doing. Embarrassment
4
REPLY"
129,"F82 ///M4
11 days ago
MUST BE SCARY LIVING IN UKRAINE RIGHT NOW….
1
REPLY"
130,"Bobby Chang
11 days ago
Blinken wants to be the greatest peace maker of the world. He may just get it.
4
REPLY"
131,"Steven Kaufman
11 days ago
Wouldn’t have to use ANY opportunities if there were a set of balls in the WH.
REPLY"
132,"Cal Ripson
11 days ago
After Iraqi WMD, who wouldn't believe them?
8
REPLY"
133,"Jim Gallagher
11 days ago
Our president is an expert in diplomacy. That’s why he has 40+ years in politics. He’s a good guy and he’s fighting hard for bipoc people rights and gender justice. I like him a lot.
4
REPLY"
134,"o_o'
11 days ago
I’m a registered Democrat, but I will vote for ANYONE except Biden if one, single American is harmed in Europe.
REPLY"
135,"Caesar For Life
11 days ago
They're stoking the fire while trying to put it out. 
REPLY"
136,"landonor
11 days ago
POTATUS brandon wants Zelensky to pay for his goodwill toward POTUS Trump.
2
REPLY"
137,"justanaveragejoe
11 days ago
Every opportunity except realize their concerns for NATO at their border. You say political solutions, but offer nothing to address Russian concerns. Your political solutions are do it our way or take a ride in the highway. Not much negotiating skills or solutions.
2
REPLY"
138,"Tomi Dancingbird
11 days ago
Jeez…Niinistö a Putin whisperer?  Do these media folk even see how ridiculous they are?  Maybe provide a bit of context to the reporting.  Seems pretty clear that Nato in Ukraine should be off the table with an agreement worked out on paper.
3
REPLY"
139,"Nunya Business
11 days ago
None of this would be happening if Trump was in office. Let's go Brandon.
9
REPLY"
140,"J. Peck
11 days ago
Biden, Blinken give so much confidence - after Kabul
7
REPLY"
141,"Mrs. Liberty
11 days ago
Americans interested in the Ukraine/Russia conflict need to follow INTERNATIONAL MEDIA OUTLETS because you are missing what’s happening in real time, and US media will tell you what the state wants you to believe otherwise. Thank me later.
REPLY"
142,"Mark Simmons
11 days ago
Feeding the industrial war complex with our taxes
2
REPLY"
143,"Danny Holland
11 days ago
A. Blinken? Wasn't he in Monty python's 
 'the holy grail'?
REPLY"
144,"Rick Flair
11 days ago
Blinken is a sock puppet.
4
REPLY"
145,"Dennis Hill
11 days ago
So, Blinky is using every opportunity to prevent a war.  Only a genius would do this. hahahahah. No one wants war and you spouting some nonsense is not helping anyone. But so glad you sent Kamala over there. Her vast experience and knowledge of foreign affairs is sure to fix the problem. hahahahha
1
REPLY"
146,"Mike P
11 days ago
Remember when trump diddnt get us involved in any war.
REPLY"
147,"Trigger Warning
11 days ago
What about our southern border.
3
REPLY"
148,"Miss Oodles A. Noodles
11 days ago
usa need to mind yr own business. we are always tryn to save the world while our own country is in the toilet
2
REPLY"
